"","ADPF","Tipo","Parte"
"59",568,"AM. CURIAE.","ASSOCIAÇÃO NACIONAL DOS PROCURADORES DA REPÚBLICA - ANPR"
"60",568,"ADV.(A/S)","ANDRÉ FONSECA ROLLER (20742/DF)"
"61",569,"REQTE.(S)","PARTIDO DOS TRABALHADORES"
"62",569,"REQTE.(S)","PARTIDO DEMOCRATICO TRABALHISTA DIRETORIO ESTADUAL"
"63",569,"ADV.(A/S)","ANGELO LONGO FERRARO (37922/DF, 261268/SP)"
"64",569,"ADV.(A/S)","EUGENIO JOSE GUILHERME DE ARAGAO (04935/DF, 30746/ES, 428274/SP)"
"65",569,"ADV.(A/S)","MARCELO WINCH SCHMIDT (53599/DF, 108509A/RS)"
"66",569,"ADV.(A/S)","MIGUEL FILIPI PIMENTEL NOVAES (57469/DF)"
"67",569,"ADV.(A/S)","RACHEL LUZARDO DE ARAGAO (56668/DF, 139937/MG)"
"68",569,"ADV.(A/S)","GABRIEL DE CARVALHO SAMPAIO (55891/DF, 252259/SP)"
"69",569,"ADV.(A/S)","SABRINA DURIGON MARQUES (253024/SP)"
"70",569,"INTDO.(A/S)","PRESIDENTE DA REPÚBLICA"
"71",569,"PROC.(A/S)(ES)","ADVOGADO-GERAL DA UNIÃO"
"72",569,"INTDO.(A/S)","CONGRESSO NACIONAL"
"73",569,"PROC.(A/S)(ES)","ADVOGADO-GERAL DA UNIÃO"
"74",569,"INTDO.(A/S)","JUÍZA FEDERAL DA 13ª VARA FEDERAL DE CURITIBA"
"75",569,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"76",570,"REQTE.(S)","PARTIDO DEMOCRATICO TRABALHISTA"
"77",570,"ADV.(A/S)","PAULO ROBERTO IOTTI VECCHIATTI (242668/SP)"
"78",570,"INTDO.(A/S)","CONGRESSO NACIONAL"
"79",570,"PROC.(A/S)(ES)","ADVOGADO-GERAL DA UNIÃO"
"80",570,"INTDO.(A/S)","PRESIDENTE DA REPÚBLICA"
"81",570,"PROC.(A/S)(ES)","ADVOGADO-GERAL DA UNIÃO"
"82",571,"REQTE.(S)","PARTIDO DEMOCRÁTICO TRABALHISTA - PTB"
"83",571,"ADV.(A/S)","WALBER DE MOURA AGRA (757/PE)"
"84",571,"INTDO.(A/S)","TRIBUNAL DE JUSTIÇA DO ESTADO DE SANTA CATARINA"
"85",571,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"86",571,"INTDO.(A/S)","GOVERNADOR DO ESTADO DE SANTA CATARINA"
"87",571,"ADV.(A/S)","PROCURADOR-GERAL DO ESTADO DE SANTA CATARINA"
"88",571,"INTDO.(A/S)","ASSEMBLEIA LEGISLATIVA DO ESTADO DE SANTA CATARINA"
"89",571,"ADV.(A/S)","PROCURADOR-GERAL DA ASSEMBLEIA LEGISLATIVA DO ESTADO DE SANTA CATARINA"
"90",572,"REQTE.(S)","REDE SUSTENTABILIDADE"
"91",572,"ADV.(A/S)","KAMILA RODRIGUES ROSENDA (32792/DF)"
"92",572,"ADV.(A/S)","FILIPE TORRI DA ROSA (35538/DF)"
"93",572,"INTDO.(A/S)","PRESIDENTE DO SUPREMO TRIBUNAL FEDERAL"
"94",572,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"95",572,"AM. CURIAE.","COLEGIO DE PRESIDENTES DOS INSTITUTOS DE ADVOGADOS DO BRASIL"
"96",572,"ADV.(A/S)","JOSE HORACIO HALFELD REZENDE RIBEIRO (131193/SP)"
"97",572,"AM. CURIAE.","ASSOCIAÇÃO NACIONAL DAS EMPRESAS DE COMUNICAÇÃO SEGMENTADA ¿ ANATEC"
"98",572,"ADV.(A/S)","PAULO ROGERIO TEIXEIRA PIMENTA (163390/SP)"
"99",572,"AM. CURIAE.","PARTIDO TRABALHISTA BRASILEIRO - PTB"
"100",572,"ADV.(A/S)","LUIZ GUSTAVO PEREIRA DA CUNHA (28328/DF, 137677/RJ, 462972/SP)"
"101",572,"AM. CURIAE.","ASSOCIACAO NACIONAL DOS MEMBROS DO MINISTERIO PUBLICO - CONAMP"
"102",572,"ADV.(A/S)","ARISTIDES JUNQUEIRA ALVARENGA (12500/DF)"
"103",573,"REQTE.(S)","GOVERNADOR DO ESTADO DO PIAUÍ"
"104",573,"ADV.(A/S)","PROCURADOR-GERAL DO ESTADO DO PIAUÍ"
"105",573,"INTDO.(A/S)","ASSEMBLEIA LEGISLATIVA DO ESTADO DO PIAUÍ"
"106",573,"ADV.(A/S)","PROCURADORIA-GERAL DA ASSEMBLÉIA LEGISLATIVA DO PIAUÍ"
"107",573,"AM. CURIAE.","FEDERAÇÃO SINDICAL NACIONAL DOS SERVIDORES PENITENCIÁRIOS - FENASPEN"
"108",573,"ADV.(A/S)","JOSE LUSTOSA MACHADO FILHO (6935/PI)"
"109",573,"ADV.(A/S)","JONILSON CESAR DOS REIS (6930/PI)"
"110",573,"AM. CURIAE.","ASSOCIAÇÃO GERAL DO PESSOAL PENITENCIÁRIO DO ESTADO DO PIAUÍ - AGEPEN/PI"
"111",573,"ADV.(A/S)","KAIO EMANOEL TELES COUTINHO MORAES (22227-A/MA, 17630/PI)"
"112",573,"AM. CURIAE.","SINDICATO DOS SERVIDORES DA ASSEMBLÉIA LEGISLATIVA DO ESTADO DO PIAUÍ - ASALPI"
"113",573,"ADV.(A/S)","JOSE NORBERTO LOPES CAMPELO (2594/PI)"
"114",573,"ADV.(A/S)","NATHALIE CANCELA CRONEMBERGER CAMPELO (9191-A/MA, 2953/PI)"
"115",573,"ADV.(A/S)","ISABELLE MARQUES SOUSA (9309/PI)"
"116",573,"AM. CURIAE.","SINDICATO DOS MÉDICOS DO ESTADO DO PIAUÍ - SIMEPI"
"117",573,"ADV.(A/S)","GILVAN CARNEIRO DE ANDRADE FILHO (11327/PI)"
"118",573,"ADV.(A/S)","PABLO FORLAN NOGUEIRA HOLANDA (11330/PI)"
"119",573,"ADV.(A/S)","RAFAEL FONSECA LUSTOSA (9616/PI)"
"120",573,"AM. CURIAE.","FEDERAÇÃO NACIONAL DOS MÉDICOS - FENAM"
"121",573,"ADV.(A/S)","ULISSES RIEDEL DE RESENDE (00968/DF)"
"122",573,"ADV.(A/S)","MARCOS LUIS BORGES DE RESENDE (03842/DF)"
"123",573,"ADV.(A/S)","ANTONIO ALVES FILHO (04972/DF)"
"124",574,"REQTE.(S)","ASSOCIACAO BRASILEIRA DAS EMPRESAS DE TRANSPORTE TERRESTRE DE PASSAGEIROS"
"125",574,"ADV.(A/S)","ALDE DA COSTA SANTOS JUNIOR (07447/DF)"
"126",574,"ADV.(A/S)","MARIA ZULEIKA DE OLIVEIRA ROCHA (10407/DF)"
"127",574,"ADV.(A/S)","CIRO DE ALMEIDA GRYNBERG (129236/RJ)"
"128",574,"ADV.(A/S)","JOAO PAULO MORAES ALMEIDA (26324/DF)"
"129",574,"INTDO.(A/S)","TRIBUNAL REGIONAL FEDERAL DA 1ª REGIÃO"
"130",574,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"131",574,"INTDO.(A/S)","TRIBUNAL REGIONAL FEDERAL DA 3ª REGIÃO"
"132",574,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"133",574,"INTDO.(A/S)","TRIBUNAL REGIONAL FEDERAL DA 4ª REGIÃO"
"134",574,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"135",574,"INTDO.(A/S)","TRIBUNAL DE JUSTIÇA DO ESTADO DE SÃO PAULO"
"136",574,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"137",574,"INTDO.(A/S)","TRIBUNAL DE JUSTIÇA DO ESTADO DE MINAS GERAIS"
"138",574,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"139",575,"REQTE.(S)","CONF NACIONAL TRAB EM TRANSPORTES TERRESTRES"
"140",575,"ADV.(A/S)","MARCIO ROGERIO DE ARAUJO (244192/SP)"
"141",575,"INTDO.(A/S)","PRESIDENTE DA REPÚBLICA"
"142",575,"PROC.(A/S)(ES)","ADVOGADO-GERAL DA UNIÃO"
"143",576,"REQTE.(S)","PARTIDO VERDE"
"144",576,"ADV.(A/S)","ICARO RENNYE MORAES LEITE (1168/RR)"
"145",576,"INTDO.(A/S)","CÂMARA MUNICIPAL DE BOA VISTA"
"146",576,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"147",577,"REQTE.(S)","ASSOCIACAO NACIONAL DAS EMPRESAS DE TRANSPORTES URBANOS"
"148",577,"ADV.(A/S)","RODRIGO MUDROVITSCH ADVOGADOS (OAB/DF: 2037/12)"
"149",577,"ADV.(A/S)","RODRIGO DE BITTENCOURT MUDROVITSCH (4708/AC, 26966/DF, 200706/MG, 18407/A/MT, 56927/PR, 212740/RJ, 5536/RO, 633-A/RR, 396605/SP)"
"150",577,"ADV.(A/S)","VICTOR SANTOS RUFINO (57089/DF, 4943/PI, 407119/SP)"
"151",577,"ADV.(A/S)","GUSTAVO TEIXEIRA GONET BRANCO (42990/DF, 244270/RJ)"
"152",577,"ADV.(A/S)","RAPHAEL MARCELINO DE ALMEIDA NUNES (24658/DF, 29719/A/MT, 220542/RJ)"
"153",577,"ADV.(A/S)","GABRIEL LEAO URSI (422574/SP)"
"154",577,"INTDO.(A/S)","PREFEITO DO MUNICÍPIO DO RIO DE JANEIRO"
"155",577,"PROC.(A/S)(ES)","PROCURADOR-GERAL DO MUNICÍPIO DO RIO DE JANEIRO"
"156",578,"REQTE.(S)","CONFEDERACAO NACIONAL DOS TRABALHADORES EM EDUCACAO"
"157",578,"ADV.(A/S)","RAFAEL DOS SANTOS KIRCHHOFF (46088/PR)"
"158",578,"ADV.(A/S)","RAFAEL DOS SANTOS KIRCHHOFF (46088/PR)"
"159",578,"ADV.(A/S)","LIGIA ZIGGIOTTI DE OLIVERA (66624/PR)"
"160",578,"INTDO.(A/S)","PREFEITO DO MUNICÍPIO DE SANTA CRUZ DE MONTE CASTELO"
"161",578,"ADV.(A/S)","PROCURADOR-GERAL DO MUNICÍPIO DE SANTA CRUZ DE MONTE CASTELO"
"162",578,"INTDO.(A/S)","CÂMARA MUNICIPAL DE SANTA CRUZ DE MONTE CASTELO"
"163",578,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"164",578,"AM. CURIAE.","ASSOCIACAO NACIONAL DE JURISTAS PELOS DIREITOS HUMANOS DE LESBICAS, GAYS, BISSEXUAIS, TRAVESTIS, TRANSEXUAIS, TRANSGENEROS E INTERSEXUAIS"
"165",578,"ADV.(A/S)","RAFAEL DOS SANTOS KIRCHHOFF (46088/PR)"
"166",578,"AM. CURIAE.","SINDICATO DOS PROFESSORES DE UNIVERSIDADES FEDERAIS DE BELO HORIZONTE, MONTES CLAROS E OURO BRANCO - APUBH"
"167",578,"ADV.(A/S)","SARAH CAMPOS (128257/MG, 128257/MG, 388429/SP)"
"168",578,"AM. CURIAE.","INSTITUTO BRASILEIRO DE DIREITO ADMINISTRATIVO"
"169",578,"ADV.(A/S)","MAURICIO GARCIA PALLARES ZOCKUN (55420/BA, 69256A/GO, 156594/SP)"
"170",578,"ADV.(A/S)","CAROLINE MULLER BITENCOURT (74472/RS)"
"171",578,"AM. CURIAE.","INSTITUTO BRASILEIRO DE DIREITO DE FAMILIA - IBDFAM"
"172",578,"ADV.(A/S)","MARIA BERENICE DIAS (32863/DF, 74024/RS)"
"173",578,"ADV.(A/S)","RODRIGO DA CUNHA PEREIRA (30143/DF, 37728/MG, 307490/SP)"
"174",578,"AM. CURIAE.","COMITÊ LATINO-AMERICANO E DO CARIBE PARA A DEFESA DOS DIREITOS DAS MULHERES - CLADEM/BRASIL"
"175",578,"AM. CURIAE.","THEMIS, GENERO, JUSTICA E DIREITOS HUMANOS"
"176",578,"AM. CURIAE.","CEPIA CIDADANIA ESTUDOS PESQUISA INFORMACAO E ACAO"
"177",578,"AM. CURIAE.","INSTITUTO MARIA DA PENHA"
"178",578,"AM. CURIAE.","CENTRO FEMINISTA DE ESTUDOS E ASSESSORIA (CFEMEA)"
"179",578,"AM. CURIAE.","ASSOCIAÇÃO TAMO JUNTAS ¿ ASSESSORIA JURÍDICA GRATUITA PARA MULHERES VÍTIMAS DE VIOLÊNCIA"
"180",578,"ADV.(A/S)","LEILA DE ANDRADE LINHARES BARSTED (034775/RJ)"
"181",578,"ADV.(A/S)","INGRID VIANA LEAO (11839/PA)"
"182",578,"ADV.(A/S)","JESSICA MIRANDA PINHEIRO (103744/RS)"
"183",578,"AM. CURIAE.","ASSOCIACAO ARTIGO 19 BRASIL"
"184",578,"ADV.(A/S)","LAURA DA CUNHA VARELLA (373981/SP)"
"185",578,"ADV.(A/S)","DENISE DOURADO DORA (19054/RS)"
"186",579,"REQTE.(S)","PARTIDO DOS TRABALHADORES"
"187",579,"ADV.(A/S)","GABRIEL DE CARVALHO SAMPAIO (55891/DF, 252259/SP)"
"188",579,"ADV.(A/S)","CAIO BADARO MASSENA (217129/RJ)"
"189",579,"ADV.(A/S)","ANGELO LONGO FERRARO (37922/DF, 261268/SP)"
"190",579,"INTDO.(A/S)","MINISTRO DE ESTADO DA JUSTIÇA E SEGURANÇA PÚBLICA"
"191",579,"PROC.(A/S)(ES)","ADVOGADO-GERAL DA UNIÃO"
"192",579,"AM. CURIAE.","INSTITUTO ANJOS DA LIBERDADE"
"193",579,"ADV.(A/S)","GERALDO LUIZ MASCARENHAS PRADO (046484/RJ)"
"194",579,"AM. CURIAE.","ASSOCIACAO NACIONAL DA ADVOCACIA CRIMINAL"
"195",579,"ADV.(A/S)","FLAVIA PINHEIRO FROES (097557/RJ)"
"196",579,"ADV.(A/S)","RAMIRO CARLOS ROCHA REBOUCAS (169721/RJ)"
"197",579,"AM. CURIAE.","PARTIDO DA MULHER BRASILEIRA - PMB"
"198",579,"ADV.(A/S)","JAIME ANGELO NONATO FUSCO (109456/RJ)"
"199",580,"REQTE.(S)","GOVERNADOR DO ESTADO DA BAHIA"
"200",580,"ADV.(A/S)","PROCURADOR-GERAL DO ESTADO DA BAHIA"
"201",580,"INTDO.(A/S)","TRIBUNAL DE JUSTIÇA DO ESTADO DA BAHIA"
"202",580,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"203",580,"INTDO.(A/S)","TRIBUNAL REGIONAL DO TRABALHO DA 5ª REGIÃO"
"204",580,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"205",580,"INTDO.(A/S)","ÓRGÃOS DO PODER JUDICIÁRIO DE 1º INSTÂNCIA DO TRIBUNAL DE JUSTIÇA DO ESTADO DA BAHIA"
"206",580,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"207",580,"INTDO.(A/S)","ÓRGÃOS DO PODER JUDICIÁRIO DE 1º INSTÂNCIA DO TRIBUNAL REGIONAL DO TRABALHO DA 5ª REGIÃO"
"208",580,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"209",581,"REQTE.(S)","REDE SUSTENTABILIDADE"
"210",581,"ADV.(A/S)","RAYSSA CARVALHO DA SILVA (2325/AP)"
"211",581,"INTDO.(A/S)","PRESIDENTE DA REPÚBLICA"
"212",581,"PROC.(A/S)(ES)","ADVOGADO-GERAL DA UNIÃO"
"213",581,"AM. CURIAE.","INSTITUTO SOU DA PAZ"
"214",581,"ADV.(A/S)","DANIEL ANTONIO DE MORAES SARMENTO (73032/RJ)"
"215",581,"ADV.(A/S)","CAMILLA BORGES MARTINS GOMES (179620/RJ)"
"216",581,"ADV.(A/S)","CRISTINA TELLES DE ARAÚJO SILVA (166362/RJ)"
"217",581,"ADV.(A/S)","JOÃO GABRIEL MADEIRA PONTES (211354/RJ)"
"218",581,"ADV.(A/S)","LETÍCIA MARQUES OSÓRIO (31163/RS)"
"219",581,"ADV.(A/S)","WALLACE DE ALMEIDA CÔRBO (186442/RJ)"
"220",581,"AM. CURIAE.","INSTITUTO ALANA"
"221",581,"ADV.(A/S)","PEDRO AFFONSO DUARTE HARTUNG (329833/SP)"
"222",581,"ADV.(A/S)","MAYARA SILVA DE SOUZA (388920/SP)"
"223",581,"ADV.(A/S)","ISABELLA VIEIRA MACHADO HENRIQUES (155097/SP)"
"224",581,"ADV.(A/S)","ANA CLÁUDIA CIFALI (80390/RS)"
"225",581,"AM. CURIAE.","INSTITUTO IGARAPÉ"
"226",581,"ADV.(A/S)","BETO FERREIRA MARTINS VASCONCELOS (172687/SP)"
"227",581,"AM. CURIAE.","ASSOCIAÇÃO DIREITOS HUMANOS EM REDE - CONECTAS DIREITOS HUMANOS"
"228",581,"ADV.(A/S)","MARCOS ROBERTO FUCHS (101663/SP)"
"229",581,"ADV.(A/S)","CAIO DE SOUZA BORGES (308668/SP)"
"230",581,"ADV.(A/S)","JOÃO PAULO DE GODOY (365922/SP)"
"231",581,"ADV.(A/S)","JEFFERSON RODRIGO DO NASCIMENTO (383307/SP)"
"232",581,"ADV.(A/S)","GABRIEL ANTONIO SILVEIRA MANTELLI (373777/SP)"
"233",581,"ADV.(A/S)","GABRIEL DE CARVALHO SAMPAIO (55891/DF, 252259/SP)"
"234",581,"ADV.(A/S)","RAISSA CARLA BELINTANI DE SOUZA (404214/SP)"
"235",581,"ADV.(A/S)","RODRIGO FILIPPI DORNELLES (329849/SP)"
"236",582,"REQTE.(S)","REDE SUSTENTABILIDADE"
"237",582,"ADV.(A/S)","PRISCILLA SODRE PEREIRA (53809/DF, 235405/RJ)"
"238",582,"ADV.(A/S)","DANILO MORAIS DOS SANTOS"
"239",582,"INTDO.(A/S)","PRESIDENTE DA REPÚBLICA"
"240",582,"PROC.(A/S)(ES)","ADVOGADO-GERAL DA UNIÃO"
"241",583,"REQTE.(S)","PARTIDO SOCIALISTA BRASILEIRO - PSB"
"242",583,"REQTE.(S)","PARTIDO VERDE"
"243",583,"REQTE.(S)","REDE SUSTENTABILIDADE"
"244",583,"REQTE.(S)","PARTIDO COMUNISTA DO BRASIL"
"245",583,"ADV.(A/S)","DANIEL ANTONIO DE MORAES SARMENTO (63551/DF, 73032/RJ)"
"246",583,"ADV.(A/S)","CAMILLA BORGES MARTINS GOMES (63549/DF, 179620/RJ)"
"247",583,"ADV.(A/S)","JOAO GABRIEL MADEIRA PONTES (63560/DF, 211354/RJ)"
"248",583,"ADV.(A/S)","ADEMAR BORGES DE SOUSA FILHO (29178/DF, 186435/RJ)"
"249",583,"ADV.(A/S)","PEDRO HENRIQUE CARNEIRO DA COSTA REZENDE (16767A/AL, 59372/DF, 222950/RJ)"
"250",583,"INTDO.(A/S)","PRESIDENTE DA REPÚBLICA"
"251",583,"PROC.(A/S)(ES)","ADVOGADO-GERAL DA UNIÃO"
"252",584,"REQTE.(S)","PARTIDO SOCIALISMO E LIBERDADE (P-SOL)"
"253",584,"ADV.(A/S)","ANDRE BRANDAO HENRIQUES MAIMONI (29498/DF, 7040/O/MT)"
"254",584,"INTDO.(A/S)","PREFEITO MUNICIPAL DE ITAGUAÍ"
"255",584,"ADV.(A/S)","PROCURADOR-GERAL DO MUNICÍPIO DE IGUAGUAÍ"
"256",584,"INTDO.(A/S)","CÂMARA MUNICIPAL DE ITAGUAÍ"
"257",584,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"258",585,"REQTE.(S)","GOVERNADOR DO ESTADO DO MARANHÃO"
"259",585,"PROC.(A/S)(ES)","PROCURADOR-GERAL DO ESTADO DO MARANHÃO"
"260",585,"INTDO.(A/S)","TRIBUNAL REGIONAL DO TRABALHO DA 16ª REGIÃO"
"261",585,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"262",586,"REQTE.(S)","REDE SUSTENTABILIDADE"
"263",586,"ADV.(A/S)","DANILO MORAIS DOS SANTOS"
"264",586,"ADV.(A/S)","RAYSSA CARVALHO DA SILVA (2325/AP)"
"265",586,"INTDO.(A/S)","PRESIDENTE DA REPÚBLICA"
"266",586,"PROC.(A/S)(ES)","ADVOGADO-GERAL DA UNIÃO"
"267",587,"REQTE.(S)","GOVERNADOR DO ESTADO DE SANTA CATARINA"
"268",587,"ADV.(A/S)","PROCURADOR-GERAL DO ESTADO DE SANTA CATARINA"
"269",587,"INTDO.(A/S)","TRIBUNAL REGIONAL DO TRABALHO DA 12ª REGIÃO"
"270",587,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"271",587,"INTDO.(A/S)","TRIBUNAL SUPERIOR DO TRABALHO"
"272",587,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"273",588,"REQTE.(S)","ESTADO DA PARAIBA"
"274",588,"PROC.(A/S)(ES)","PROCURADOR-GERAL DO ESTADO DA PARAÍBA"
"275",588,"INTDO.(A/S)","TRIBUNAL REGIONAL DO TRABALHO DA 13ª REGIÃO"
"276",588,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"277",588,"AM. CURIAE.","SINDICATO DOS ENGENHEIROS DO ESTADO DA PARAÍBA - SENGE/PB"
"278",588,"ADV.(A/S)","ANTONIO BARBOSA DE ARAUJO (6053/PB)"
"279",589,"REQTE.(S)","CENTRAL NACIONAL DE ENTIDADES REPRESENTATIVAS DOS BENEFICIÁRIOS DA SEGURIDADE SOCIAL - CNAPS"
"280",589,"ADV.(A/S)","ALEXANDRE HONIGMANN (198354/SP)"
"281",589,"INTDO.(A/S)","PRESIDENTE DO INSTITUTO NACIONAL DO SEGURO SOCIAL-INSS"
"282",589,"ADV.(A/S)","PROCURADOR-GERAL FEDERAL (00000/DF)"
"283",590,"REQTE.(S)","GOVERNADOR DO ESTADO DO PARÁ"
"284",590,"PROC.(A/S)(ES)","PROCURADOR-GERAL DO ESTADO DO PARÁ"
"285",590,"INTDO.(A/S)","GOVERNADOR DO ESTADO DO PARÁ"
"286",590,"PROC.(A/S)(ES)","PROCURADOR-GERAL DO ESTADO DO PARÁ"
"287",590,"INTDO.(A/S)","ASSEMBLEIA LEGISLATIVA DO ESTADO DO PARÁ"
"288",590,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"289",591,"REQTE.(S)","CONSELHO FEDERAL DA ORDEM DOS ADVOGADOS DO BRASIL - CFOAB"
