"","ADPF","Data","Nome","Julgador","Decisao"
"22",567,"15/04/2020","Vista ao(à) Ministro(a)","MIN. GILMAR MENDES","Decisão: Após os votos dos Ministros Alexandre de Moraes (Relator) e Ricardo Lewandowski, que julgavam improcedente a arguição de descumprimento de preceito fundamental; e do voto do Ministro Edson Fachin, que não conhecia da arguição, pediu vista dos autos o Ministro Gilmar Mendes. Falaram: pela requerente, a Dra. Cristiane Romano, e, pelo interessado Prefeito do Município de São Paulo, o Dr. Felipe Granado Gonzales. Não participou deste julgamento, por motivo de licença médica no início da sessão, o Ministro Celso de Mello (art. 2º, § 5º, da Res. 642/2019). Plenário, Sessão Virtual de 3.4.2020 a 14.4.2020."
"23",567,"14/04/2020","Suspenso o julgamento","MIN. GILMAR MENDES","Pedido de Vista"
"24",567,"31/03/2020","Indeferido","MIN. ALEXANDRE DE MORAES","Em 30 de março de 2020: ""(...) Indefiro o pedido.
Publique-se."
"25",567,"19/03/2020","Inclua-se em pauta - minuta extraída","TRIBUNAL PLENO - SESSÃO VIRTUAL","Julgamento Virtual: Incluído na Lista 173-2020.AM - Agendado para: 03/04/2020."
"26",567,"30/10/2019","Inclua-se em pauta - minuta extraída","TRIBUNAL PLENO","Julgamento Presencial: Incluído na Lista 375-2019.AM - Agendado para: 28/11/2019."
"27",567,"15/10/2019","Inclua-se em pauta - minuta extraída","TRIBUNAL PLENO - SESSÃO VIRTUAL","Julgamento Virtual: Incluído na Lista 332-2019.AM - Agendado para: 25/10/2019."
"28",567,"27/06/2019","Reconsideração","MIN. ALEXANDRE DE MORAES","Em 27.6.2019: ""...REVOGO A MEDIDA CAUTELAR anteriormente
concedida, para RESTAURAR A EFICÁCIA da Lei 16.897/2018 do
Município de São Paulo, até o julgamento de mérito da presente
Arguição.
Publique-se."""
"29",567,"01/04/2019","Liminar deferida","MIN. ALEXANDRE DE MORAES","Em 29.3.2019: ""...CONCEDO A MEDIDA CAUTELAR postulada na
presente ADPF, ad referendum do Plenário (art. 5º, § 1º, da Lei 9.882/99) e,
com base no art. 5º, § 3º, da Lei 9.882/1999, SUSPENDO A EFICÁCIA da
Lei 16.897/2018 do Município de São Paulo, até o julgamento de mérito da
presente arguição. Comunique-se, com urgência, o Prefeito do Município de São Paulo
e a Câmara Municipal, solicitando-lhe informações, no prazo de 10 (dez)
dias, nos termos do art. 6º da Lei 9.882/1999. Em sequência, confira-se
vista dos autos ao Advogado-Geral da União e ao Procurador-Geral da
República, para que, sucessivamente, no prazo de 5 (cinco) dias, ambos se
manifestem na forma da legislação vigente.
Nos termos do art. 21, X, do Regimento Interno do Supremo
Tribunal Federal, peço dia para julgamento, pelo Plenário, do referendo
da medida ora concedida. Publique-se. Intimem-se."""
"30",568,"06/11/2020","Deferido","MIN. ALEXANDRE DE MORAES","Dessa forma, HOMOLOGO a proposta de ajuste no Acordo Sobre Destinação de Valores, conforme requerido pela Advocacia-Geral da União e anuído pelas demais autoridades intervenientes, e AUTORIZO A DESTINAÇÃO DE RECURSOS para o Instituto Chico Mendes de Conservação da Biodiversidade, ICMBio, para financiamento de ações de proteção ambiental descritas no item 1.2 do referido Acordo, com a obrigatoriedade de comprovar nos autos a efetiva utilização dos recursos.
Publique-se.
Brasília, 5 de novembro de 2020."
"31",568,"14/05/2020","Deferido","MIN. ALEXANDRE DE MORAES","""(...) Reporto-me aos fundamentos lançados na decisão de 22/3/2020 (peça 368) e de 7/4/2020 (peça 397), nas quais, respectivamente, homologado o ajuste no acordo homologado, para realocação de recursos previsos no Item 1.1 para o custeio das ações de enfrentamento à pandemia do coronavírus (COVID-19), e homologado o pedido do Estado do Acre, para realocação dos recursos recebidos por esse ente em razão da Item 1.2.2, com idêntico escopo.
Como já afirmado as referidas decisões, a emergência causada pela pandemia do COVID-19 exige das autoridades brasileiras, em todos os níveis de governo, a efetivação concreta da proteção à saúde pública, com a adoção de todas as medidas possíveis para o apoio e manutenção das atividades do Sistema Único de Saúde. 
O Estado do Maranhão informa que os valores a ele repassados em decorrência do Item 1.2.2 (execução descentralizada de recursos para ações de prevenção, fiscalização e combate ao desmatamento, incêndios florestais e ilícitos ambientais na Amazônia Legal) ainda não tiveram sua execução iniciada, “por diversas dificuldades administrativas, em especial o desenvolvimento de processos de formulação e de estruturação das ações a serem realizadas de acordo com a destinação específica atribuída a esses recursos”. 
O Estado do Tocantins, da mesma forma, indica que a execução das ações originalmente previstas como destinação desses recursos, combate às queimadas, ainda não se iniciaram, ao passo que há forte demanda de recursos para a aquisição de insumos para os serviços de saúde e demais ações de enfrentamento à pandemia de coronavírus.
Por fim, o Estado de Mato Grosso afirma que os valores repassados “não foram efetivamente despendidos pela Administração”, justificando a necessidade de aplicação desses recursos em atividades relacionadas à saúde, assistência social e segurança pública.
Dessa forma, na linha do que já fora deferido em relação ao Estado do Acre, considerando que a realocação não acarretará nenhuma descontinuidade de ações ou programas de governo, ao mesmo tempo em que virá ao encontro de uma necessidade premente que ameaça a vida e a integridade física da população dos Estados postulantes, entendo que a alteração proposta – e anuída pelas autoridades que firmaram o Acordo originalmente homologado – mostra-se conforme ao interesse público, na medida em que indispensável para a tutela do direito à saúde (art. 6º, caput, e 196 da Constituição Federal). 
Sobre o pedido de esclarecimento apresentado pela Advocacia-Geral da União, observo que a decisão de 22/3/2020 expressamente delimita que o montante a ser desvinculado de sua destinação originária diz respeito ao universo de “R$ 1.601.941.554,97 (um bilhão, seiscentos e um milhões, novecentos e quarenta e um mil e quinhentos e cinquenta e quatro reais e noventa e sete centavos), prevista no Item 1.1”. Naturalmente, essa desvinculação somente será aplicável a valores ainda não empenhados na data em que proferida a decisão homologatória.
Dessa forma, HOMOLOGO a proposta de ajuste no Acordo Sobre Destinação de Valores, conforme requerido pelos Estados do Maranhão, Tocantins e Mato Grosso e anuído pelas autoridades intervenientes (peças 438, 443, 445 e 449), e DETERMINO A IMEDIATA DESTINAÇÃO dos recursos recebidos por esses Estados em decorrência do Item 1.2.2 do Acordo, para o custeio das ações de prevenção, contenção, combate e mitigação à pandemia do coronavírus (CONVID19). 
Os Estados requerentes deverão comprovar a efetiva utilização do montante autorizado. 
Publique-se.
Brasília, 13 de maio de 2020."""
"32",568,"07/04/2020","Deferido","MIN. ALEXANDRE DE MORAES","""(...) Dessa forma, HOMOLOGO a proposta de ajuste no Acordo Sobre
Destinação de Valores, conforme requerido pelo Estado do Acre e anuído
pelas autoridades intervenientes (peças 383, 385, 388 e 390), e
DETERMINO A IMEDIATA DESTINAÇÃO de R$ 32.731.487,36 (trinta e
dois milhões, setecentos e trinta e um mil, quatrocentos e oitenta e sete
reais e trinta e seis centavos), referente ao Item 1.2.2, para o custeio das
ações de prevenção, contenção, combate e mitigação à pandemia do
coronavírus (CONVID19). O Estado do Acre deverá comprovar a efetiva utilização do montante
autorizado.
Publique-se.
"""
"33",568,"22/03/2020","Deferido","MIN. ALEXANDRE DE MORAES","Dessa forma, HOMOLOGO a proposta de ajuste no Acordo Sobre
Destinação de Valores, conforme pedido da PGR e anuído pelas autoridades intervenientes (peças 354, 357, 360 e 366), e DETERMINO A
IMEDIATA DESTINAÇÃO de R$ 1.601.941.554,97 (um bilhão, seiscentos
e um milhões, novecentos e quarenta e um mil e quinhentos e cinquenta e
quatro reais e noventa e sete centavos), prevista no Item 1.1, ao MINISTÉRIO DA SAÚDE, para o custeio das ações de prevenção,
contenção, combate e mitigação à pandemia do coronavírus
(CONVID19). 
Intime-se os participantes e intervenientes do acordo.
Publique-se."
"34",568,"18/12/2019","Deferido em parte","MIN. ALEXANDRE DE MORAES","""(...) Diante de todo o exposto:
1) DETERMINO, respeitados os parâmetros devidamente
estabelecidos na decisão judicial, O IMEDIATO REPASSE para os
Estados, dos créditos definidos no item 1.2.2 do “Acordo sobre a
destinação de valores executados” na forma de TRANSFERÊNCIAS
OBRIGATÓRIAS, para todos os fins orçamentários e financeiros, sob
fiscalização da Controladoria-Geral da União e do Tribunal de Contas da
União. Os referidos créditos sejam objeto de empenho, ainda no ano de
2019, ficando os respectivos valores sob a rubrica e restos a pagar do
orçamento, caso não sejam quitados até o dia 31 de dezembro de 2019;
2) Intime-se a AGU para, no prazo de 5 (cinco) dias, apontar se o
restante do “Acordo sobre a destinação de valores executados” foi
integralmente cumprido; bem como, para, nos termos da manifestação da
PGR, informar os exatos critérios pelos quais a União definiu o montante
devido e repassado a cada Estado, sem prejuízo do imediato
cumprimento do item “1”.
Publique-se.
"""
"35",568,"17/09/2019","Extinto o processo","MIN. ALEXANDRE DE MORAES","Em 17.9.2019?: ""...HOMOLOGO o
Acordo Sobre a Destinação de Valores (peças 197 e 200) e JULGO EXTINTOS
AMBOS OS PROCESSOS (ADPF 568 e RCL 33.667), COM RESOLUÇÃO
DE MÉRITO.
AUTORIZO a imediata transferência dos recursos financeiros
depositados, devidamente corrigidos, para a conta única do Tesouro
Nacional para o cumprimento integral do acordo homologado, [...] DEFIRO o pedido da Caixa Econômica Federal (peça 175) pela
retenção de valores – feita proporcionalmente de cada montante
destinado, conforme critérios estabelecidos no Acordo sobre a Destinação
dos Valores, firmado em 5/9/2019 – referentes à remuneração daquela
instituição financeira em razão da custódia dos valores em conta-gráfica.
Oficie-se aos Excelentíssimos Ministros do Tribunal de Contas da
União, relatores dos TC 005.557/2019-4, TC 005.840/2019-8 e TC
005.844/2019-3, com cópia da presente decisão.
Publique-se."""
"36",568,"12/04/2019","Deferido","MIN. ALEXANDRE DE MORAES","Em 11 de abril de 2019. Ref.: Petição STF 19.663/2019 e Petição STF 19.851/2019: ""(...) DEFIRO O PEDIDO
DE INGRESSO COMO AMICUS CURIAE formulado pela Associação
Nacional dos Procuradores da República – ANPR, na presente Arguição
de Descumprimento de Preceito Fundamental.
2. DEFIRO o requerimento da Petrobras de confidencialidade dos
documentos a serem apresentados em atenção ao despacho de 29/3/2019.
A petição que encaminhar os documentos deverá ser apresentada em meio
físico no protocolo judicial da Secretaria Judiciária (situado neste Supremo
Tribunal Federal, Anexo II, andar térreo). A Secretaria deverá autuar a
documentação na classe Petição, com marcação de sigilo, distribuindo-a
por dependência a esta Ação.
À Secretaria, para as providências cabíveis.
Publique-se."""
"37",568,"15/03/2019","Liminar deferida","MIN. ALEXANDRE DE MORAES","Em 15.3.2019: ""...CONCEDO A MEDIDA CAUTELAR
postulada na presente ADPF, ad referendum do Plenário (art. 5º, § 1º, da Leidaquela Corte, com objeto semelhante.
Cite-se a parte interessada nos autos da Rcl 33.667.
À Secretaria para o traslado da presente decisão aos autos
eletrônicos da Rcl 33.667 e para adoção de providências para a tramitação
conjunta dos dois processos.
Publique-se.""
9.882/1999), para, com base no art. 5º, § 3º, da Lei 9.882/1999:
(a) suspender todos os efeitos da decisão judicial proferida pelo
Juízo da 13ª Vara Federal de Curitiba, que homologou o Acordo de
Assunção de Obrigações firmado entre a Petrobras e os Procuradores da
República do Ministério Público do Paraná (Força-Tarefa Lava-Jato), bem
como a eficácia do próprio acordo;
(b) determinar o imediato bloqueio de todos os valores depositados
pela Petrobras, bem como subsequentes rendimentos, na conta corrente
designada pelo juízo da 13ª Vara Criminal Federal de Curitiba que, a
partir desta decisão, deverão permanecer em depósito judicial vinculado
ao mesmo Juízo, proibida qualquer movimentação de valores sem
expressa decisão do SUPREMO TRIBUNAL FEDERAL;
(c) determinar a suspensão de todas as ações judiciais, em curso
perante qualquer órgão ou Tribunal, ou que, eventualmente, venham a
ser propostas e que tratem do objeto impugnado na presente ADPF;
(d) comunicar, com urgência, ao Juízo da 13ª Vara Criminal Federal
de Curitiba, solicitando-lhe informações, no prazo de 10 (dez) dias, na
forma do art. 6º da Lei 9.882/1999;
(e) intimar todos os subscritores do acordo homologado perante a
13ª Vara Criminal Federal de Curitiba para a apresentação de
informações, no prazo de 10 (dez) dias;
(f) intimar a Câmara dos Deputados, a Advocacia-Geral da União, o
Presidente da Petróleo Brasileiro S/A, para a apresentação de
informações, no prazo comum de 10 (dez) dias; (g) oficiar ao Tribunal de Contas da União, solicitando-lhe
informações sobre a eventual existência de procedimento no âmbito"
"38",569,"20/04/2023","Inclua-se em pauta - minuta extraída","TRIBUNAL PLENO","Pleno em 20/04/2023 19:17:02 - ADPF"
"39",569,"29/03/2022","Embargos não conhecidos","MIN. ALEXANDRE DE MORAES","Em 27 de março de 2022: ""(...) NÃO CONHEÇO DOS EMBARGOS DECLARATÓRIOS opostos pela AJUFE. [...] Oficie-se os Presidentes do Tribunal Superior Eleitoral e do
Superior Tribunal de Justiça, bem como o eminente Ministro OG
FERNANDES, com cópia da decisão.
Publique-se."""
"40",569,"01/06/2021","Liminar deferida","MIN. ALEXANDRE DE MORAES","""Assim, há previsão legal específica tratando da destinação desses
recursos. Pelo exposto, a decisão de 10/2/2021 (doc. 271) fica integrada pelos esclarecimentos acima. Publique-se."""
"41",569,"10/02/2021","Liminar deferida","MIN. ALEXANDRE DE MORAES","Em 10 de fevereiro de 2021: ""(...) CONCEDO A MEDIDA CAUTELAR
postulada na presente ADPF, ad referendum do Plenário, para, com base no
art. 5º, § 3º, da Lei 9.882/1999, DETERMINAR que os valores ou bens
provenientes dos efeitos da condenação criminal ou de acordos observem
os estritos termos do art. 91 do Código Penal, do inciso IV do art. 4º da Lei
12850/13 e do inciso I do art. 7º da Lei 9613/98; CABENDO À UNIÃO a
destinação de valores referentes a restituições, multas e sanções análogas
decorrentes de condenações criminais, colaborações premiadas ou outros
acordos realizados, desde que não haja vinculação legal expressa e
ressalvado o direito de demais entidades lesadas; VEDANDO-SE que
seus montantes sejam distribuídos de maneira vinculada, estabelecida ou
determinada pelo Ministério Público, por termos de acordo firmado entre
este e o responsável pagador, ou por determinação do órgão jurisdicional
em que tramitam esses procedimentos.
Conforme requerido pela Advocacia-Geral da União (eDoc. 257), tal
decisão se aplica às verbas discriminadas nas decisões proferidas pelo
Juízo da 13ª Vara Federal de Curitiba/PR (Petição 5022000-
13.2017.4.04.7000 e Representação Criminal 5025605- 98.2016.4.04.7000).
Oficie-se os Presidentes e Corregedores dos Tribunais Regionais Federais, Tribunais de Justiça dos Estados e Tribunais de Justiça Militar
dando-lhes ciência da presente decisão, solicitando que deem
conhecimento a todos os magistrados à eles vinculados.
Oficie-se, igualmente, o Procurador Geral da República, os
Procuradores Gerais de Justiça e os Corregedores dos Ministérios
Públicos Federal, Militar e Estaduais para, igualmente, darem ciência da
presente decisão aos membros do Ministério Público.
Oficie-se, ainda, os Presidentes e Corregedores do CNJ e CNMP,
dando-lhes ciência da presente decisão.
Publique-se."""
"42",570,"12/06/2019","Agravo regimental não provido","TRIBUNAL PLENO","Decisão: O Tribunal, por unanimidade, conheceu do agravo e negou-lhe provimento, nos termos do voto do Relator. Não participaram, justificadamente, deste julgamento, os Ministros Gilmar Mendes e Luiz Fux. Presidência do Ministro Dias Toffoli. Plenário, 12.06.2019."
"43",570,"13/05/2019","Inclua-se em pauta - minuta extraída","TRIBUNAL PLENO","Pleno em 13/05/2019 16:12:12 - ADPF-AgR"
"44",570,"21/03/2019","Negado seguimento","MIN. MARCO AURÉLIO","em 19.03.2019: ""(...) Nego seguimento ao pedido.
         
4. Publiquem."""
"45",571,"30/08/2021","Agravo regimental não provido","TRIBUNAL PLENO - SESSÃO VIRTUAL","Decisão: O Tribunal, por unanimidade, negou provimento ao agravo regimental, nos termos do voto do Relator. Plenário, Sessão Virtual de 20.8.2021 a 27.8.2021."
"46",571,"10/08/2021","Inclua-se em pauta - minuta extraída","TRIBUNAL PLENO - SESSÃO VIRTUAL","Julgamento Virtual: ADPF-AgR. Incluído na Lista 361-2021.GM - Agendado para: 20/08/2021 a 27/08/2021."
"47",571,"10/08/2021","Inclua-se em pauta - minuta extraída","TRIBUNAL PLENO - SESSÃO VIRTUAL","Julgamento Virtual: ADPF-AgR. Incluído na Lista 360-2021.GM - Agendado para: 20/08/2021 a 27/08/2021."
"48",571,"29/06/2021","Não conhecido(s)","MIN. GILMAR MENDES","Assim, tendo em vista a existência de outras medidas processuais cabíveis e efetivas para questionar os atos em apreço, bem como a inexistência de controvérsia judicial relevante, entendo que o conhecimento do presente pedido de ADPF é incompatível com uma interpretação adequada do princípio da subsidiariedade. Ante o exposto, não conheço da presente arguição de descumprimento de preceito fundamental (art. 21, IX, RISTF). Publique-se. Brasília, 29 de junho de 2021."
"49",572,"18/06/2020","Improcedente","TRIBUNAL PLENO","Decisão: Preliminarmente, o Presidente não conheceu da questão formulada pelo amicus curiae Colégio de Presidentes dos Institutos de Advogados do Brasil ante a ilegitimidade do amicus curiae para suscitar eventual impedimento de ministro, por ser extemporânea e em razão da inadequação da forma, bem como por não se aplicarem às ações de controle concentrado ou abstrato de constitucionalidade as hipóteses de impedimento. Na sequência, o Tribunal, por maioria, conheceu da arguição de descumprimento de preceito fundamental, converteu o julgamento da medida cautelar em julgamento definitivo de mérito e, nos limites desse processo, diante de incitamento ao fechamento do STF, de ameaça de morte ou de prisão de seus membros, de apregoada desobediência a decisões judiciais, julgou totalmente improcedente o pedido nos termos expressos em que foi formulado ao final da petição inicial, para declarar a constitucionalidade da Portaria GP nº 69/2019 enquanto constitucional o artigo 43 do RISTF, nas específicas e próprias circunstâncias de fato com esse ato exclusivamente envolvidas, nos termos do voto do Relator e dos votos proferidos, vencido o Ministro Marco Aurélio. Presidência do Ministro Dias Toffoli. Plenário, 18.06.2020 (Sessão realizada inteiramente por videoconferência - Resolução 672/2020/STF)."
"50",572,"02/06/2020","Indeferido","MIN. EDSON FACHIN","(...) 3. Diante do exposto:


a) indefiro o pedido de desistência;


b) indefiro o pedido de intervenção de terceiro e o ingresso de bancada parlamentar como amicus curiae;


c) defiro o pedido de ingresso do diretório do PTB como amicus curiae , facultando-lhe a apresentação de informações, memoriais escritos nos autos e de sustentação oral por ocasião do julgamento da presente ação. À Secretaria para as anotações necessárias."
"51",572,"20/11/2019","Deferido","MIN. EDSON FACHIN","Em 19/11/2019: ""(...) admito a ANATEC como amicus curiae, facultando-lhe a apresentação de
informações, memoriais escritos nos autos e sustentação oral por ocasião
do julgamento da presente ADPF. (...) 3. Em relação ao requerimento da Procuradoria-Geral da República
para que seja solicitada a complementação das informações, oficie-se ao
Ministro Alexandre de Moraes, solicitando informações, inclusive a fim
de confirmar o acesso do Ministério Público aos autos do inquérito n. º
4.781.
4. Com as informações, vistas novamente à PGR."""
"52",572,"16/08/2019","Deferido","MIN. EDSON FACHIN","""(...) Diante do exposto, com base no disposto no art. 7º, § 2º, da Lei
9.868/1999, aqui aplicável por analogia, e o art. 138, caput, do CPC,
admito a UNAFISCO e o SINDIFISCO como amici curiae, facultando-lhes
a apresentação de informações, memoriais escritos nos autos e
sustentação oral por ocasião do julgamento da presente ADPF ."""
"53",572,"15/05/2019","Inclua-se em pauta - minuta extraída","TRIBUNAL PLENO","Pleno em 15/05/2019 11:07:23 - ADPF-MC"
"54",572,"25/04/2019","Deferido","MIN. EDSON FACHIN","""(...) Diante do exposto, com base no disposto no art. 7º, § 2º, da Lei
9.868/1999, aqui aplicável por analogia, e o art. 138, caput, do CPC,
admito o Colégio de Presidentes dos Institutos dos Advogados do Brasil
como amicus curiae, facultando-lhe a apresentação de informações,
memoriais escritos nos autos e de sustentação oral por ocasião do
julgamento da presente ADPF. (...)"""
"55",573,"13/04/2023","Embargos rejeitados","TRIBUNAL PLENO - SESSÃO VIRTUAL","Decisão: (ED-terceiros) O Tribunal, por unanimidade: (i) não conheceu dos embargos de declaração opostos pelo Sindicato dos Servidores da Assembleia Legislativa do Estado do Piauí – ASALPI e pelo Sindicato dos Servidores Fazendários do Estado do Piauí - SINDIFAZ; (ii) conheceu e rejeitou os embargos de declaração opostos pelo Governador do Estado do Piauí; e (iii) conheceu e acolheu parcialmente os embargos de declaração opostos pela Assembleia Legislativa do Estado do Piauí, para conferir efeitos prospectivos ao acórdão embargado, a fim de que ele produza efeitos após 12 (doze) meses, contados da data da publicação da ata de julgamento dos presentes embargos, sendo alcançados pela modulação os servidores que já estejam aposentados e aqueles que, até o final do prazo ora concedido, tenham preenchido os requisitos para a aposentadoria, tudo nos termos do  Plenário, Sessão Virtual de 31.3.2023 a 12.4.2023."
"56",573,"13/04/2023","Embargos não conhecidos","TRIBUNAL PLENO - SESSÃO VIRTUAL","Decisão: (ED-segundos) O Tribunal, por unanimidade: (i) não conheceu dos embargos de declaração opostos pelo Sindicato dos Servidores da Assembleia Legislativa do Estado do Piauí – ASALPI e pelo Sindicato dos Servidores Fazendários do Estado do Piauí - SINDIFAZ; (ii) conheceu e rejeitou os embargos de declaração opostos pelo Governador do Estado do Piauí; e (iii) conheceu e acolheu parcialmente os embargos de declaração opostos pela Assembleia Legislativa do Estado do Piauí, para conferir efeitos prospectivos ao acórdão embargado, a fim de que ele produza efeitos após 12 (doze) meses, contados da data da publicação da ata de julgamento dos presentes embargos, sendo alcançados pela modulação os servidores que já estejam aposentados e aqueles que, até o final do prazo ora concedido, tenham preenchido os requisitos para a aposentadoria, tudo nos termos do voto do Relator. Plenário, Sessão Virtual de 31.3.2023 a 12.4.2023."
"57",573,"13/04/2023","Embargos recebidos em parte","TRIBUNAL PLENO - SESSÃO VIRTUAL","Decisão: (ED) O Tribunal, por unanimidade: (i) não conheceu dos embargos de declaração opostos pelo Sindicato dos Servidores da Assembleia Legislativa do Estado do Piauí – ASALPI e pelo Sindicato dos Servidores Fazendários do Estado do Piauí - SINDIFAZ; (ii) conheceu e rejeitou os embargos de declaração opostos pelo Governador do Estado do Piauí; e (iii) conheceu e acolheu parcialmente os embargos de declaração opostos pela Assembleia Legislativa do Estado do Piauí, para conferir efeitos prospectivos ao acórdão embargado, a fim de que ele produza efeitos após 12 (doze) meses, contados da data da publicação da ata de julgamento dos presentes embargos, sendo alcançados pela modulação os servidores que já estejam aposentados e aqueles que, até o final do prazo ora concedido, tenham preenchido os requisitos para a aposentadoria, tudo nos termos do voto do Relator. Plenário, Sessão Virtual de 31.3.2023 a 12.4.2023."
